"Modulo_Macula","Modulo_Periferia","Jaccard"
"darkgreen","cyan",0.267667844522968
"blue","paleturquoise",0.267613636363636
"darkgreen","greenyellow",0.267326732673267
"cyan","paleturquoise",0.266952177016417
"brown","white",0.266910772788591
"saddlebrown","orange",0.26663475347056
"green","paleturquoise",0.265965886552955
"darkgreen","white",0.264791464597478
"skyblue","darkred",0.264562027567808
"darkgreen","magenta",0.264289756649689
"lightgreen","darkorange",0.263206247129077
"cyan","thistle1",0.263177294507925
"yellow","thistle3",0.263069454817028
"lightgreen","thistle1",0.263041556145004
"brown","thistle3",0.26283873412924
"saddlebrown","brown",0.262181889919116
"saddlebrown","lightcyan",0.262105730786317
"brown","ivory",0.261271676300578
"darkgreen","orangered4",0.259902333152469
"yellow","paleturquoise",0.259876427635274
"brown","blue2",0.25971058644326
"green","ivory",0.25944433339996
"blue","blue2",0.258903335217637
"darkgreen","lightcoral",0.258557135334387
"darkgreen","darkred",0.258553486357731
"black","darkorange",0.258471432104873
"saddlebrown","cyan",0.257999189955448
"greenyellow","lightcoral",0.257405213270142
"blue","lightcyan",0.257294429708223
"darkgreen","midnightblue",0.257142857142857
"lightgreen","lightcoral",0.25661252900232
"yellow","blue2",0.25645342312009
"cyan","lightcoral",0.255938697318008
"darkgreen","orange",0.255862428348098
"darkgreen","paleturquoise",0.255660377358491
"pink","darkorange",0.255640846708537
"darkgreen","red",0.255581216320246
"magenta","darkorange",0.25523679417122
"lightgreen","mediumorchid",0.254573967590172
"orange","cyan",0.254554170661553
"darkgreen","darkturquoise",0.254552812626467
"blue","white",0.25406120136003
"darkgreen","purple",0.253859348198971
"turquoise","paleturquoise",0.253162333099086
"darkgreen","ivory",0.252427184466019
"thistle2","ivory",0.252317198764161
"brown","lightcyan",0.252096036585366
"turquoise","thistle3",0.252008382815229
"pink","lightcoral",0.251986909770921
"green","lightcyan",0.251434223541048
"saddlebrown","blue",0.25134328358209
"skyblue","magenta",0.250638660232756
"yellow","ivory",0.250611476952023
"skyblue","steelblue",0.250521920668058
"yellow","white",0.250468340202323
"pink","orange",0.249941873982795
"cyan","orangered4",0.249513429349942
"green","thistle1",0.249500998003992
"skyblue","pink",0.249365482233503
"lightgreen","turquoise",0.249365159979685
"thistle2","white",0.249365159979685
"black","lightcoral",0.248700816629547
"black","orangered4",0.248557812891899
"turquoise","blue2",0.248203330411919
"skyblue","midnightblue",0.248133509003074
"skyblue","thistle1",0.247858942065491
"thistle2","paleturquoise",0.247642679900744
"darkgreen","blue2",0.247058823529412
"blue","ivory",0.246887966804979
"magenta","orange",0.246821071752952
"skyblue","darkturquoise",0.24661469019286
"skyblue","greenyellow",0.246227164416203
"blue","thistle1",0.246206373292868
"yellow","lightcyan",0.246171087037729
"yellow","thistle1",0.245709975485574
"cyan","yellowgreen",0.245643153526971
"darkgreen","darkorange",0.2452636968766
"darkgreen","sienna3",0.244503078276165
"skyblue","cyan",0.243578387953942
"thistle2","thistle",0.24315297261189
"orange","orangered4",0.242642642642643
"turquoise","white",0.242365742365742
"thistle2","blue2",0.242303872889772
"turquoise","lightcyan",0.242057223099877
"skyblue","white",0.241345685031692
"saddlebrown","darkorange",0.24093023255814
"magenta","lightcoral",0.240308320108819
"orange","darkred",0.240299205236092
"skyblue","darkorange",0.240188383045526
"red","orange",0.239973844812554
"orange","paleturquoise",0.239835306227483
"skyblue","ivory",0.239783357951748
"brown","thistle1",0.239756051076806
"skyblue","green",0.239702117756574
"darkgreen","mediumorchid",0.239285714285714
"darkgreen","lightcyan",0.238706609605326
"thistle2","midnightblue",0.238651685393258
"skyblue","purple",0.238613577771412
"darkgreen","yellow",0.238193489225126
"skyblue","red",0.238083034341363
"orange","steelblue",0.237969094922737
"orange","thistle1",0.237682728749323
"saddlebrown","thistle3",0.237452551665964
"skyblue","thistle3",0.236977944626936
"skyblue","lightcyan",0.236867704280156
"saddlebrown","turquoise",0.236529989833955
"lightgreen","thistle3",0.236065573770492
"turquoise","ivory",0.235933391761613
"orange","blue2",0.235567010309278
"darkgreen","green",0.235159294063718
"orange","pink",0.234596375617792
"saddlebrown","thistle1",0.234430604982206
"turquoise","thistle1",0.234154929577465
"orange","white",0.233630172865375
"red","lightcoral",0.233195562323254
"darkgreen","black",0.232886723507917
"skyblue","paleturquoise",0.232811759127549
"thistle2","pink",0.232245681381958
"orange","darkturquoise",0.231934227607097
"thistle2","darkred",0.231799910674408
"red","darkorange",0.23134971970677
"green","darkorange",0.231338803281969
"saddlebrown","ivory",0.231307389593354
"thistle2","thistle3",0.231289232254949
"thistle2","cyan",0.231117141564903
"orange","darkorange",0.230378317334839
"skyblue","sienna3",0.230222222222222
"brown","darkorange",0.229911572472126
"cyan","mediumorchid",0.229813664596273
"thistle2","steelblue",0.228981833544571
"darkgreen","yellowgreen",0.228355607205113
"thistle2","orange",0.228013029315961
"blue","orange",0.227324695121951
"thistle2","magenta",0.227272727272727
"greenyellow","yellowgreen",0.226514215080346
"green","lightcoral",0.225877632898696
"skyblue","yellow",0.225665748393021
"thistle2","red",0.225148463723212
"greenyellow","orangered4",0.224926686217009
"orange","greenyellow",0.224854530340815
"darkgreen","thistle1",0.224794983116257
"skyblue","black",0.2243448444771
"pink","orangered4",0.22322461253759
"skyblue","blue2",0.223062381852552
"thistle2","black",0.222443393879074
"yellow","darkorange",0.221616541353383
"blue","darkorange",0.221277399848828
"darkgreen","blue",0.220899737744604
"magenta","orangered4",0.220741075463172
"green","orange",0.220099502487562
"red","orangered4",0.219995643650621
"thistle2","purple",0.219568345323741
"brown","orange",0.219353604895774
"darkgreen","lavenderblush3",0.218988218988219
"brown","lightcoral",0.218791946308725
"yellow","orange",0.217939074840165
"saddlebrown","lightcoral",0.217431617987946
"thistle2","darkorange",0.21618743343983
"turquoise","darkorange",0.216173361522199
"darkgreen","brown2",0.216147488874762
"skyblue","orange",0.215950284826515
"skyblue","orangered4",0.21505376344086
"thistle2","thistle1",0.214939024390244
"darkgreen","brown",0.214426487977927
"darkgreen","thistle3",0.214221422142214
"thistle2","orangered4",0.213847012841988
"saddlebrown","mediumorchid",0.213612565445026
"thistle2","sienna3",0.213025780189959
"orange","mediumorchid",0.212864721485411
"yellow","lightcoral",0.212582159624413
"thistle2","greenyellow",0.212554628526023
"orange","yellowgreen",0.212377850162866
"cyan","brown2",0.212029424491562
"saddlebrown","magenta4",0.211180124223602
"thistle2","lightcyan",0.210941350418926
"skyblue","blue",0.209856594627348
"orange","magenta",0.209816303099885
"thistle2","green",0.209554581121625
"thistle2","darkturquoise",0.209340434248259
"turquoise","orange",0.208889669711876
"blue","lightcoral",0.208317651486639
"brown","orangered4",0.206678180771445
"thistle2","yellow",0.206476802939825
"black","yellowgreen",0.205763397371082
"thistle2","lightcoral",0.205376344086022
"lightcyan1","lightcyan",0.205020920502092
"green","orangered4",0.204744816586922
"skyblue","brown",0.204581358609795
"lightcyan1","darkturquoise",0.204388984509466
"darkgreen","palevioletred3",0.204366282595512
"skyblue","lightcoral",0.20434557682359
"orange","thistle3",0.20384047267356
"orange","lightcyan",0.203684749232344
"orange","red",0.203631647211414
"cyan","palevioletred3",0.203517587939698
"blue","orangered4",0.202991857602727
"darkgreen","magenta4",0.202898550724638
"turquoise","lightcoral",0.201997196916608
"lightgreen","mediumpurple2",0.201912260967379
"lightcyan1","midnightblue",0.201754385964912
"greenyellow","mediumorchid",0.201037217815741
"lightgreen","yellowgreen",0.200394866732478
"orange","sienna3",0.200279459711225
"yellow","orangered4",0.199586932031543
"orange","ivory",0.199484536082474
"orange","purple",0.198665893271462
"pink","yellowgreen",0.19811320754717
"thistle2","yellowgreen",0.198049969530774
"lightcyan1","greenyellow",0.197933884297521
"darkgreen","turquoise",0.197558080379854
"lightcyan1","sienna3",0.196876478939896
"turquoise","orangered4",0.195319373570297
"lightgreen","thistle",0.193945613134941
"cyan","magenta4",0.193768672641912
"thistle2","blue",0.192727272727273
"lightgreen","lavenderblush3",0.192307692307692
"thistle2","brown",0.191598969684961
"orange","yellow",0.191390881740338
"magenta","mediumorchid",0.191003460207612
"orange","black",0.190688459633482
"black","mediumorchid",0.18925702811245
"orange","lightcoral",0.188542825361513
"magenta","yellowgreen",0.18851521390986
"skyblue","palevioletred3",0.188387893761581
"greenyellow","magenta4",0.187007253232419
"orange","green",0.186691312384473
"skyblue","brown2",0.186538461538462
"lightgreen","magenta4",0.186467767714438
"orange","magenta4",0.186246418338109
"red","yellowgreen",0.185535282479666
"darkgreen","thistle",0.185250737463127
"pink","mediumorchid",0.184976525821596
"skyblue","turquoise",0.184433164128596
"thistle2","mediumorchid",0.1843233312921
"skyblue","yellowgreen",0.184073860357761
"lightcyan1","pink",0.184058898847631
"greenyellow","palevioletred3",0.18403205918619
"lightcyan1","steelblue",0.183848797250859
"lightcyan1","purple",0.182344428364689
"skyblue","thistle",0.182149362477231
"lightcyan1","magenta",0.182127659574468
"lightcyan1","thistle3",0.181370133070478
"red","mediumorchid",0.180837004405286
"greenyellow","thistle",0.180568285976169
"lightcyan1","yellow",0.180282342050451
"lightgreen","brown2",0.179799048122686
"skyblue","mediumorchid",0.177842565597668
"saddlebrown","mediumpurple2",0.177650429799427
"darkgreen","mediumpurple2",0.177346278317152
"cyan","thistle",0.177163754571312
"lightcyan1","white",0.176440591534931
"black","palevioletred3",0.176381145463761
"black","thistle",0.17624810892587
"lightcyan1","darkred",0.17607223476298
"lightcyan1","green",0.175600739371534
"lightcyan1","red",0.174724993604502
"lightcyan1","paleturquoise",0.174626865671642
"saddlebrown","lavenderblush3",0.173529411764706
"green","mediumorchid",0.173508594539939
"orange","blue",0.173411574261433
"cyan","lavenderblush3",0.173315602836879
"pink","thistle",0.171967020023557
"orange","mediumpurple2",0.171278982797307
"lightcyan1","ivory",0.171120246659815
